Source,description,API_Key_Url
Federal Reserve Bank of Cleveland,"The Federal Reserve Bank of Cleveland collects data from hundreds of financial institutions, including depository institutions, bank holding companies, and other entities that is used to assess financial institution conditions and also to glean insights into how the economy and financial system are doing.",https://www.quandl.com/api/v3/datasets/FRBC/CREDIT_EASING?api_key=
Ljubljana Stock Exchange (Slovenia),"This database contains the Ljubljana Stock Exchange indexes and is based in Ljubljana, Slovenia.",https://www.quandl.com/api/v3/datasets/LJUBSE/INDEX?api_key=
National Institute of Statistics and Economic Studies (France),"INSEE is the national statistical agency of France. It collects data on France's economy and society, such as socioeconomic indicators and national accounts.",https://www.quandl.com/api/v3/datasets/INSEE/1254_001583874_A?api_key=
BTER,Historical exchange rate data for crypto currencies.,https://www.quandl.com/api/v3/datasets/BTER/BTMETH?api_key=
Bank of Canada Statistical Database,"Economic, financial and banking data for Canada. Includes interest rates, inflation, national accounts and more. Daily updates.",https://www.quandl.com/api/v3/datasets/BOC/V39079?api_key=
Renaissance Capital,A global investment advisory that specializes in IPOs. It publishes data on the IPO market in the United States.,https://www.quandl.com/api/v3/datasets/RENCAP/USIPO?api_key=
Russian Federation Statistics Service,"The Russian governmental statistical agency that publishes social, economic, and demographic statistics for Russia at the national and local levels.",https://www.quandl.com/api/v3/datasets/RFSS/FIMONEY?api_key=
BLS Productivity,"US manufacturing, labor and business statistics, published by the Bureau of Labor Statistics.",https://www.quandl.com/api/v3/datasets/BLSP/PRS88003183?api_key=
Swiss National Bank,"Central bank responsible for monetary policy and currency. Data on international accounts, interest rates, money supply, and other macroeconomic indicators.",https://www.quandl.com/api/v3/datasets/SNB/SNBIPROGA?api_key=
Eurekahedge,A research company focused on hedge funds and other alternative investment funds. It publishes data on the performances of hedge funds.,https://www.quandl.com/api/v3/datasets/EUREKA/MEI27?api_key=
Bank of Mexico,"The Bank of Mexico is responsible for monetary policy and the national currency (peso), and provides data on accounts and all macroeconomic variables.",https://www.quandl.com/api/v3/datasets/BDM/SF41080?api_key=
Cass Information Systems,"Since 1990, CASS provides monthly Cass Freight Index Reports on freight trends as they relate to other economic and supply chain indicators.",https://www.quandl.com/api/v3/datasets/CASS/CFI?api_key=
European Network of Transmission System Operators For Electricity,?The ENTSO-E statistical database encompasses a range of historical data sets regarding power systems of ENTSO-E member TSOs. All data provided by ENTSO-E,https://www.quandl.com/api/v3/datasets/ENTSOE/MK_TRANS?api_key=
Wells Fargo Home Mortgage Loans,"This database offers mortgage purchase and refinance rates from Wells Fargo Home Mortgage, a division of Wells Fargo Bank.",https://www.quandl.com/api/v3/datasets/WFC/RR_CON_51ARM_APR?api_key=
Ukrainian Exchange,UKRSE presents the most current available data related to the largest stock exchanges in Ukraine. The exchange is located in Kiev and accounts for roughly three-quarters of Ukraine's total equity trading volume,https://www.quandl.com/api/v3/datasets/UKRSE/UX?api_key=
Amman Stock Exchange,The official stock exchange of Jordan. It publishes daily financial data on indexes that represent different sectors of the economy.,https://www.quandl.com/api/v3/datasets/AMMANSE/INDEX_TECHNOLOGY_AND_COMMUNICATION?api_key=
Federal Deposit Insurance Corporation,The FDIC is a federal insurer of bank deposits up to $250k and collects finance data on commercial banking and savings institutions.,FDIC/SI20_OA
Perth Mint,"The Perth Mint’s highs, lows and averages of interest rates and commodities prices, updated on a monthly basis.",https://www.quandl.com/api/v3/datasets/PERTH/LONMETALS?api_key=
Thomas Brinkhoff: City Populations,Thomas Brinkhoff provides population data for cities and administrative areas in most countries.,https://www.quandl.com/api/v3/datasets/CITYPOP/CITY_YANGIQALAHTKRAFGHANISTAN?api_key=
Liv-Ex,Liv-Ex is a global wine market. It publishes proprietary price indexes for the most popular fine wines that have strong secondary markets.,https://www.quandl.com/api/v3/datasets/LIVEX/LVX_50_D?api_key=
Social Security Administration,"Provides data on the US social security program, particularly demographics of beneficiaries; disabled, elderly, and survivors.",https://www.quandl.com/api/v3/datasets/SOCSEC/TRUST_FUND_OP?api_key=
Reserve Bank of Australia,"Central bank and monetary authority, regulates banking industry, sets interest rates, and services government's debt. Data on key economic indicators.",https://www.quandl.com/api/v3/datasets/RBA/A03_4?api_key=
Stock Exchange of Thailand,The official securities exchange of Thailand. It publishes data on the indexes that are traded on it as well as on the performance of the exchange itself,https://www.quandl.com/api/v3/datasets/THAISE/MI_MAI?api_key=
Quito Stock Exchange (Ecuador),The indexes of the national Stock Exchange of Ecuador.,https://www.quandl.com/api/v3/datasets/QUITOSE/QUITO?api_key=
US Treasury - Financial Management Service,The monthly receipts/outlays and deficit/surplus of the United States of America.,https://www.quandl.com/api/v3/datasets/FMSTREAS/MTS?api_key=
Inflation Rate,"Inflation Rates and the Consumer Price Index CPI for Argentina, Australia, Canada, Germany, Euro area, France, Italy, Japan, New Zealand and more.",https://www.quandl.com/api/v3/datasets/RATEINF/CPI_USA?api_key=
PFTS Stock Exchange (Ukraine),"Index data from the PFTS Stock Exchange, the largest marketplace in Ukraine.",PFTS/INDEX
Canadian Mortgage and Housing Corporation,"The CMHC is a gov’t-owned corporation that provides affordable housing to Canadian citizens and collects data such as prices, construction, and supply.",https://www.quandl.com/api/v3/datasets/CMHC/SVRPM?api_key=
World Aluminium,World Aluminium capacity and production in thousand metric tonnes.,https://www.quandl.com/api/v3/datasets/WORLDAL/PALPROD?api_key=
National Association of Homebuilders,"A trade association in housing, home-ownership, and residential buildings. Data on opportunity indexes and related economic indicators for the US.",
BLS International,"Import and export price statistics for various countries, published by the Bureau of Labor Statistics.",https://www.quandl.com/api/v3/datasets/BLSN/EIUIH14243?api_key=
Warsaw Stock Exchange,"WIG20 index has been calculated since April 16, 1994 based on the value of portfolio with shares in 20 major and most liquid companies in the WSE Main List.",https://www.quandl.com/api/v3/datasets/WARSAWSE/TBSP_INDEX?api_key=
Wu-Xia Shadow Federal Funds Rate,This dataset contains the three major indicators from the Wu-Xia papers which serve to identify the shadow rates on all three major banks.,https://www.quandl.com/api/v3/datasets/SHADOWS/EUROPE?api_key=
NYSE Factbook,Historical and current securities market credit data from the NYSE.,https://www.quandl.com/api/v3/datasets/NYXDATA/MARKET_CREDIT?api_key=
Uniform Crime Reporting Statistics,The Uniform Crime Reports in the FBI compile differing crime data into uniform statistics on specific crimes for states and the entire country.,
Bank of Russia,"Bank of Russia is the principal monetary authority responsible for monetary policy, banking, and provides data on interest rates, money supply, and accounts.",https://www.quandl.com/api/v3/datasets/BANKRUSSIA/MONEYSUPPLY_FULL?api_key=
Tunis Stock Exchange,The main reference index of Tunis Stock Exchange.,TUNISSE/TUNINDEX20
BLS Pay & Benefits,"US work stoppage statistics, published by the Bureau of Labor Statistics.",https://www.quandl.com/api/v3/datasets/BLSB/WSU020?api_key=
Puerto Rico Institute of Statistics,Puerto Rico Institute of Statistics statistics on manufacturing.,https://www.quandl.com/api/v3/datasets/IRPR/PMINSA?api_key=
GDAX (Global Digital Asset Exchange),GDAX is the world’s most popular place to buy and sell bitcoin.,no api
Local Bitcoins,,https://www.quandl.com/api/v3/datasets/LOCALBTC/KHR?api_key=
Stock Exchange of Mauritius,Stock Exchange of Mauritius indices data.,https://www.quandl.com/api/v3/datasets/MAURITIUSSE/INDICES?api_key=
,,
,,
,,
,,
